Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2010-01-01,1.4318,0.8857,133.29
2010-01-04,1.4411,0.895,133.39
2010-01-05,1.4366,0.8981,131.68
2010-01-06,1.4412,0.8994,133.08
2010-01-07,1.4319,0.8984,133.56
2010-01-08,1.4411,0.8991,133.44
2010-01-11,1.4526,0.9014,133.72
2010-01-12,1.4487,0.896,131.76
2010-01-13,1.4506,0.8908,132.68
2010-01-14,1.4496,0.8879,132.07
2010-01-15,1.4375,0.884,130.55
2010-01-18,1.4386,0.881,130.57
2010-01-19,1.4304,0.8733,130.3
2010-01-20,1.4102,0.8657,128.66
2010-01-21,1.4098,0.8696,127.4
2010-01-22,1.414,0.8776,127.09
2010-01-25,1.4153,0.8719,127.7
2010-01-26,1.4076,0.8718,126.23
2010-01-27,1.4018,0.8672,126.11
2010-01-28,1.3971,0.8663,125.55
2010-01-29,1.3867,0.8664,125.2
2010-02-01,1.3926,0.8725,126.24
2010-02-02,1.3963,0.8735,126.16
2010-02-03,1.3903,0.874,126.41
2010-02-04,1.3738,0.872,122.13
2010-02-05,1.3652,0.8737,121.98
2010-02-08,1.3659,0.8754,121.98
2010-02-09,1.378,0.8777,123.46
2010-02-10,1.3732,0.8811,123.52
2010-02-11,1.3681,0.8716,122.75
2010-02-12,1.3609,0.8684,122.5
2010-02-15,1.3597,0.8676,122.31
2010-02-16,1.3765,0.8717,124.09
2010-02-17,1.3607,0.8676,124.1
2010-02-18,1.3612,0.8715,124.22
2010-02-19,1.359,0.8792,124.52
2010-02-22,1.3597,0.8781,123.85
2010-02-23,1.35,0.8761,121.75
2010-02-24,1.3532,0.879,122.06
2010-02-25,1.3558,0.8876,120.75
2010-02-26,1.3613,0.8927,121.05
2010-03-01,1.3558,0.9045,120.77
2010-03-02,1.3608,0.9095,120.71
2010-03-03,1.3701,0.9069,121.14
2010-03-04,1.3587,0.9036,121.05
2010-03-05,1.3624,0.8993,123.05
2010-03-08,1.363,0.9049,123.09
2010-03-09,1.3599,0.9068,122.35
2010-03-10,1.3641,0.9118,123.48
2010-03-11,1.3677,0.9082,123.87
2010-03-12,1.3758,0.9061,124.47
2010-03-15,1.3671,0.9083,123.76
2010-03-16,1.3778,0.903,124.33
2010-03-17,1.3738,0.8963,123.98
2010-03-18,1.3612,0.8927,122.87
2010-03-19,1.3531,0.9012,122.52
2010-03-22,1.3549,0.8977,122.13
2010-03-23,1.35,0.8971,122.07
2010-03-24,1.3331,0.8953,122.82
2010-03-25,1.328,0.8962,123.12
2010-03-26,1.3423,0.9006,124.13
2010-03-29,1.3477,0.8995,124.64
2010-03-30,1.3413,0.8902,124.51
2010-03-31,1.351,0.8901,126.33
2010-04-01,1.3585,0.8886,127.51
2010-04-02,1.3485,0.8875,127.63
2010-04-05,1.3479,0.882,127.14
2010-04-06,1.3402,0.8772,125.64
2010-04-07,1.3351,0.8756,124.49
2010-04-08,1.3348,0.8742,124.6
2010-04-09,1.3492,0.8777,125.72
2010-04-12,1.3579,0.8838,126.62
2010-04-13,1.3589,0.8841,126.57
2010-04-14,1.3654,0.8828,127.23
2010-04-15,1.3574,0.8758,126.26
2010-04-16,1.3504,0.8774,124.41
2010-04-19,1.3486,0.8791,124.58
2010-04-20,1.3444,0.8745,125.23
2010-04-21,1.3395,0.8691,124.8
2010-04-22,1.3311,0.8652,124.48
2010-04-23,1.3371,0.8698,125.77
2010-04-26,1.3363,0.8645,125.63
2010-04-27,1.3174,0.8643,122.57
2010-04-28,1.3196,0.869,124.22
2010-04-29,1.3241,0.8631,124.57
2010-04-30,1.3314,0.8703,125.07
2010-05-03,1.3196,0.8655,124.83
2010-05-04,1.3007,0.858,122.82
2010-05-05,1.2818,0.8491,120.11
2010-05-06,1.2614,0.851,113.54
2010-05-07,1.2732,0.8592,116.35
2010-05-10,1.2775,0.86,119.11
2010-05-11,1.2691,0.8488,117.69
2010-05-12,1.2626,0.8514,117.62
2010-05-13,1.2545,0.8573,116.31
2010-05-14,1.238,0.8516,114.23
2010-05-17,1.2386,0.8556,114.6
2010-05-18,1.221,0.8518,112.77
2010-05-19,1.2386,0.8588,113.48
2010-05-20,1.2523,0.869,112.39
2010-05-21,1.2575,0.868,113.22
2010-05-24,1.2384,0.8579,111.99
2010-05-25,1.2332,0.8566,111.08
2010-05-26,1.2191,0.8461,109.73
2010-05-27,1.2345,0.8471,112.2
2010-05-28,1.2276,0.8488,111.51
2010-05-31,1.23,0.8458,112.03
2010-06-01,1.2235,0.835,111.38
2010-06-02,1.2243,0.8356,112.79
2010-06-03,1.2163,0.8322,112.62
2010-06-04,1.1963,0.8269,109.57
2010-06-07,1.192,0.8239,109.22
2010-06-08,1.1943,0.8278,109.15
2010-06-09,1.1979,0.8245,109.1
2010-06-10,1.2117,0.8237,110.58
2010-06-11,1.2091,0.8319,110.88
2010-06-14,1.2225,0.8291,111.8
2010-06-15,1.2337,0.8331,112.79
2010-06-16,1.2303,0.8321,112.46
2010-06-17,1.2385,0.8355,112.65
2010-06-18,1.2384,0.8358,112.36
2010-06-21,1.2304,0.8347,111.96
2010-06-22,1.2271,0.8284,110.86
2010-06-23,1.2321,0.8235,110.81
2010-06-24,1.2329,0.8259,110.31
2010-06-25,1.2378,0.823,110.5
2010-06-28,1.2279,0.8124,109.75
